Rented Bike Count,Hour,Temperature(°C),Humidity(%),Rainfall(mm),Snowfall (cm),Seasons,Holiday
189,1,-1.8,90,0,2.2,Winter,No Holiday
132,2,-2.2,88,0,2.2,Winter,No Holiday
79,3,-2.9,89,0,2.2,Winter,No Holiday
58,4,-3.6,91,0,2.2,Winter,No Holiday
49,5,-4.3,91,0,2.2,Winter,No Holiday
84,6,-4.8,91,0,2.2,Winter,No Holiday
178,7,-5.3,90,0,2.2,Winter,No Holiday
423,8,-5.6,89,0,2.2,Winter,No Holiday
265,9,-5.3,88,0,2.2,Winter,No Holiday
169,10,-3,71,0,2.1,Winter,No Holiday
243,11,-0.7,62,0,2,Winter,No Holiday
290,12,1.9,40,0,1.9,Winter,No Holiday
285,13,3.2,42,0,1.8,Winter,No Holiday
255,14,4.3,47,0,1.6,Winter,No Holiday
316,15,4.4,46,0,1,Winter,No Holiday
301,16,4.1,51,0,0.9,Winter,No Holiday
366,17,2.9,60,0,0.8,Winter,No Holiday
531,18,1.7,64,0,0.8,Winter,No Holiday
355,19,0.8,71,0,0.8,Winter,No Holiday
288,20,0.2,72,0,0.8,Winter,No Holiday
248,21,-0.4,74,0,0.8,Winter,No Holiday
252,22,-1.1,78,0,0.8,Winter,No Holiday
212,23,-1.5,79,0,0.8,Winter,No Holiday
196,0,-1.7,79,0,0.8,Winter,Holiday
250,1,-1.6,79,0,0.8,Winter,Holiday
161,2,-1.1,79,0,0.8,Winter,Holiday
99,3,-0.6,76,0,0.7,Winter,Holiday
64,4,-0.3,76,0,0.7,Winter,Holiday
76,5,-0.2,73,0,0.7,Winter,Holiday
114,6,-0.1,71,0,0.7,Winter,Holiday
283,7,-0.3,72,0,0.7,Winter,Holiday
544,8,-0.4,69,0,0.7,Winter,Holiday
298,9,0.3,67,0,0.6,Winter,Holiday
248,10,1.4,64,0,0.5,Winter,Holiday
278,11,3.1,57,0,0,Winter,Holiday
301,12,4.5,56,0,0,Winter,Holiday
320,13,5.4,55,0,0,Winter,Holiday
326,14,5.9,55,0,0,Winter,Holiday
386,15,6.5,55,0,0,Winter,Holiday
416,16,6,58,0,0,Winter,Holiday
477,17,5.4,61,0,0,Winter,Holiday
671,18,4.9,63,0,0,Winter,Holiday
481,19,5.2,64,0,0,Winter,Holiday
323,20,5.9,67,0,0,Winter,Holiday
309,21,6.1,70,0,0,Winter,Holiday
314,22,6.1,70,0,0,Winter,Holiday
249,23,5.8,74,0,0,Winter,Holiday
282,0,5.8,75,0,0,Winter,No Holiday
337,1,5.7,75,0,0,Winter,No Holiday
312,2,5.6,76,0,0,Winter,No Holiday
230,3,5.4,77,0,0,Winter,No Holiday
120,4,5.3,79,0,0,Winter,No Holiday
59,5,5,81,0,0,Winter,No Holiday
63,6,5.1,81,0,0,Winter,No Holiday
99,7,5.1,82,0,0,Winter,No Holiday
188,8,5.1,83,0,0,Winter,No Holiday
239,9,5.2,84,0,0,Winter,No Holiday
235,10,5.4,82,0,0,Winter,No Holiday
282,11,5.7,81,0,0,Winter,No Holiday
325,12,7,72,0,0,Winter,No Holiday
423,13,7.7,68,0,0,Winter,No Holiday
405,14,8.6,63,0,0,Winter,No Holiday
443,15,8.6,64,0,0,Winter,No Holiday
473,16,8.2,64,0,0,Winter,No Holiday
453,17,7.7,67,0,0,Winter,No Holiday
340,18,6.6,73,0,0,Winter,No Holiday
260,19,6,76,0,0,Winter,No Holiday
258,20,5.9,75,0,0,Winter,No Holiday
279,21,5.6,77,0,0,Winter,No Holiday
282,22,5.3,79,0,0,Winter,No Holiday
237,23,5.5,80,0,0,Winter,No Holiday
266,0,5.6,78,0,0,Winter,Holiday
251,1,5.6,78,0,0,Winter,Holiday
196,2,5.4,80,0,0,Winter,Holiday
149,3,5.2,82,0,0,Winter,Holiday
79,4,5.2,82,0,0,Winter,Holiday
